Date,station,river_hight,rainfall
1/1/2024,Rathnapura,1.68,8.5
1/1/2024,Magura,1.8,20.9
1/1/2024,Kalawellawa,3.12,22.4
12/31/2023,Putupaula,0.44,0
12/31/2023,Ellagawa,4.77,25.1
12/31/2023,Rathnapura,1.08,13.8
12/31/2023,Magura,1.34,0.8
12/31/2023,Kalawellawa,2.29,0
12/30/2023,Putupaula,0.37,0.9
12/30/2023,Ellagawa,4.67,2.4
12/30/2023,Rathnapura,1.12,4.9
12/30/2023,Magura,1.17,0
12/30/2023,Kalawellawa,1.9,0
12/29/2023,Putupaula,0.27,0
12/29/2023,Ellagawa,4.61,0.5
12/29/2023,Rathnapura,1.03,0.6
12/29/2023,Magura,1.25,1.3
12/29/2023,Kalawellawa,1.82,0
12/28/2023,Putupaula,0.23,1.6
12/28/2023,Ellagawa,4.69,0.2
12/28/2023,Rathnapura,1.11,5.6
12/28/2023,Magura,1.25,2.5
12/28/2023,Kalawellawa,1.92,1
12/27/2023,Putupaula,0.22,0
12/27/2023,Ellagawa,4.73,0
12/27/2023,Rathnapura,1.08,0
12/27/2023,Magura,1.33,0
12/27/2023,Kalawellawa,2.38,0
12/24/2023,Putupaula,0.42,0
12/24/2023,Ellagawa,5.03,0
12/24/2023,Rathnapura,1.31,1.5
12/24/2023,Magura,1.57,0
12/24/2023,Kalawellawa,2.48,0
12/23/2023,Putupaula,0.61,0
12/23/2023,Ellagawa,5.3,0
12/23/2023,Rathnapura,1.48,0.3
12/23/2023,Magura,1.68,0
12/23/2023,Kalawellawa,2.55,0
12/22/2023,Putupaula,0.87,1.2
12/22/2023,Ellagawa,5.5,0.6
12/22/2023,Rathnapura,1.65,5.3
12/22/2023,Magura,2.01,0
12/22/2023,Kalawellawa,3.54,5.9
12/21/2023,Putupaula,1.12,5.3
12/21/2023,Ellagawa,6,0
12/21/2023,Rathnapura,2,9
12/21/2023,Magura,2.07,1.2
12/21/2023,Kalawellawa,3.86,7.5
12/20/2023,Putupaula,2.09,4.7
12/20/2023,Ellagawa,7.28,26.3
12/20/2023,Rathnapura,2.75,1.4
12/20/2023,Magura,2.89,2.7
12/20/2023,Kalawellawa,5.41,45.8
12/19/2023,Putupaula,1.69,1.9
12/19/2023,Ellagawa,7.82,7.4
12/19/2023,Rathnapura,4.19,32.5
12/19/2023,Magura,3.47,22.5
12/19/2023,Kalawellawa,5.22,8.4
12/18/2023,Putupaula,1.76,0
12/18/2023,Ellagawa,6.34,6.8
12/18/2023,Rathnapura,2.19,0
12/18/2023,Magura,2.66,0
12/18/2023,Kalawellawa,5.36,0
12/17/2023,Putupaula,2.13,8.5
12/17/2023,Ellagawa,7.37,14.7
12/17/2023,Rathnapura,4.66,7.6
12/17/2023,Magura,4.58,19.3
12/17/2023,Kalawellawa,6.1,21.9
12/16/2023,Putupaula,2.6,71.4
12/16/2023,Ellagawa,7.34,31.2
12/16/2023,Rathnapura,3.09,24.9
12/16/2023,Magura,2.61,10.7
12/16/2023,Kalawellawa,6.68,32.3
12/15/2023,Putupaula,2.54,14.7
12/15/2023,Ellagawa,7.76,84
12/15/2023,Rathnapura,3.1,24.2
12/15/2023,Magura,3.2,2.3
12/15/2023,Kalawellawa,7.3,20.3
12/14/2023,Putupaula,2.25,1.4
12/14/2023,Ellagawa,6.49,0
12/14/2023,Rathnapura,2.33,0.1
12/14/2023,Magura,4.52,11.2
12/14/2023,Kalawellawa,7.67,5.2
12/13/2023,Putupaula,2.26,45.5
12/13/2023,Ellagawa,7.23,5.1
12/13/2023,Rathnapura,3.11,3.1
12/13/2023,Magura,6.01,10
12/13/2023,Kalawellawa,7.02,58.3
12/12/2023,Putupaula,2.18,47
12/12/2023,Ellagawa,7.75,88.2
12/12/2023,Rathnapura,3.4,2.3
12/12/2023,Magura,5.25,37
12/12/2023,Kalawellawa,5.86,72.4
12/11/2023,Putupaula,1.98,39.6
12/11/2023,Ellagawa,7.46,70.5
12/11/2023,Rathnapura,2.16,26.7
12/11/2023,Magura,3.38,3.2
12/11/2023,Kalawellawa,5.16,32.2
12/10/2023,Putupaula,1.4,1.9
12/10/2023,Ellagawa,6.25,8.5
12/10/2023,Rathnapura,2.19,0.9
12/10/2023,Magura,2.88,5.6
12/10/2023,Kalawellawa,4.65,37.5
12/9/2023,Putupaula,1.69,35.3
12/9/2023,Ellagawa,7.63,67
12/9/2023,Rathnapura,4.07,30.7
12/9/2023,Magura,2.67,6.7
12/9/2023,Kalawellawa,4.82,32.9
12/8/2023,Putupaula,1.18,0
12/8/2023,Ellagawa,6.68,2.5
12/8/2023,Rathnapura,3.2,9.4
12/8/2023,Magura,2.56,0
12/8/2023,Kalawellawa,4.71,4.4
12/7/2023,Putupaula,1.41,3.3
12/7/2023,Ellagawa,6,9.8
12/7/2023,Rathnapura,1.91,8.4
12/7/2023,Magura,3.94,29.4
12/7/2023,Kalawellawa,5.53,5.4
12/6/2023,Putupaula,1.8,12.6
12/6/2023,Ellagawa,6.78,5.8
12/6/2023,Rathnapura,2.49,10.4
12/6/2023,Magura,2.86,21.1
12/6/2023,Kalawellawa,5.66,11.4
12/5/2023,Putupaula,2.02,5.2
12/5/2023,Ellagawa,7.84,10.3
12/5/2023,Rathnapura,3.5,9.9
12/5/2023,Magura,3.58,12.7
12/5/2023,Kalawellawa,5.66,24.3
12/4/2023,Putupaula,1.08,44.1
12/4/2023,Ellagawa,6.63,78.1
12/4/2023,Rathnapura,4.11,66.4
12/4/2023,Magura,3.91,41.2
12/4/2023,Kalawellawa,3.63,102.1
12/3/2023,Putupaula,0.68,0.2
12/3/2023,Ellagawa,5.16,0
12/3/2023,Rathnapura,1.42,0
12/3/2023,Magura,1.54,0
12/3/2023,Kalawellawa,2.39,2.9
12/2/2023,Putupaula,0.71,1.2
12/2/2023,Ellagawa,5.44,1.6
12/2/2023,Rathnapura,1.63,0.6
12/2/2023,Magura,1.6,1.3
12/2/2023,Kalawellawa,2.6,0
11/30/2023,Putupaula,1.75,0
11/30/2023,Ellagawa,7.02,25.8
11/30/2023,Rathnapura,2.41,40.4
11/30/2023,Magura,2.45,3.4
11/30/2023,Kalawellawa,5.28,0
11/29/2023,Putupaula,1.98,98.2
11/29/2023,Ellagawa,7.15,51.2
11/29/2023,Rathnapura,2.43,32.5
11/29/2023,Magura,4.58,27.2
